Execution,Algorithm,Workflow,Hosts,Best ENERGY,Mean ENERGY,Min ENERGY,Max ENERGY,Best MAKESPAN,Mean MAKESPAN,Min MAKESPAN,Max MAKESPAN
epigenomics-chameleon-hep-6seq-100k-001-hosts-4-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-hep-6seq-100k-001,4,4458831.192852,4459459.395276,4458831.192852,4460207.362437,3910.253474,3910.887967,3910.253474,3912.045816
epigenomics-chameleon-hep-6seq-100k-001-hosts-8-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-hep-6seq-100k-001,8,4489657.084082,4491742.027542,4489657.084082,4494506.304172,2001.692334,2003.317818,2001.692334,2005.169411
epigenomics-chameleon-hep-6seq-100k-001-hosts-16-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-hep-6seq-100k-001,16,4565812.967165,4574875.303462,4565812.967165,4586410.575384,1059.008579,1062.957411,1059.008579,1068.039068
epigenomics-chameleon-ilmn-1seq-100k-001-hosts-2-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-ilmn-1seq-100k-001,2,873368.284595,873447.884275,873368.284595,873553.322707,1526.229932,1526.351718,1526.229932,1526.539552
epigenomics-chameleon-ilmn-1seq-100k-001-hosts-4-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-ilmn-1seq-100k-001,4,880384.643902,880871.598240,880384.643902,881327.101433,787.657897,788.166955,787.657897,788.625991
epigenomics-chameleon-ilmn-1seq-100k-001-hosts-8-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-ilmn-1seq-100k-001,8,875483.932663,895632.184897,875483.932663,900208.372174,419.597892,421.658211,419.597892,423.385738
epigenomics-chameleon-ilmn-1seq-100k-001-hosts-16-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-ilmn-1seq-100k-001,16,930272.802805,944026.507227,930272.802805,950134.380914,252.204572,253.584720,252.204572,255.350624
epigenomics-chameleon-ilmn-6seq-100k-001-hosts-2-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-ilmn-6seq-100k-001,2,3928311.612592,3929014.596532,3928311.612592,3929473.486448,6846.747928,6847.917163,6846.747928,6848.803611
epigenomics-chameleon-ilmn-6seq-100k-001-hosts-4-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-ilmn-6seq-100k-001,4,3946251.940150,3946795.233737,3946251.940150,3947126.011981,3476.044282,3476.923319,3476.044282,3477.492676
epigenomics-chameleon-ilmn-6seq-100k-001-hosts-8-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-ilmn-6seq-100k-001,8,3992419.840228,3994383.807007,3992419.840228,3997062.862568,1801.068677,1803.227376,1801.068677,1805.561156
